params,mean_fit_time,std_fit_time,mean_test_score,std_test_score
{'criterion': 'gini'},211.93337092399597,1.9040831829249245,0.7157545605306799,0.0023837459930844147
{'criterion': 'entropy'},174.63031001091002,1.5768287303849755,0.7191056910569106,0.0016036932574447398
"{'criterion': 'gini', 'splitter': 'best'}",218.2112863779068,18.811802035246654,0.7159588237673422,0.002144058982084476
"{'criterion': 'gini', 'splitter': 'random'}",94.32460970878601,5.025708367751657,0.7063119362536909,0.0031210425557802184
"{'criterion': 'entropy', 'splitter': 'best'}",180.87743098735808,16.478804831311137,0.7186526716013429,0.0021319723191054528
"{'criterion': 'entropy', 'splitter': 'random'}",75.32895929813385,10.985899389566633,0.7077822270760021,0.002647347120956832
"{'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}",8.341125464439392,0.141516091855995,0.6886805808356591,0.0036205994495138
"{'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}",5.179707336425781,0.13581649282742522,0.6597419407029892,0.004060381410339732
"{'criterion': 'gini', 'max_features': 'log2', 'splitter': 'best'}",3.626171326637268,0.10382171148559645,0.6610949318448408,0.004565460718322479
"{'criterion': 'gini', 'max_features': 'log2', 'splitter': 'random'}",2.7419138669967653,0.06583864957914641,0.6249828095295878,0.005553154945517719
"{'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}",8.542504477500916,0.30042907624995147,0.6910225296282814,0.003098683919978968
"{'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'random'}",4.8629587411880495,0.5656716490501574,0.6621465841524087,0.004328532532087303
"{'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'best'}",3.973748230934143,0.26480113377953723,0.6634732839865712,0.003486099844040885
"{'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'random'}",2.594734787940979,0.24351864830013958,0.6229887149617765,0.004029955407532363
