fit_time,predict_time,accuracy,precision,recall,f1
171.9439754486084,0.36096858978271484,0.7190713101160863,0.7182410529906205,0.7191158721596604,0.7186549250568436
172.21635553836822,0.38997340202331543,0.7189843465598835,0.7181983939583967,0.7190278335136239,0.7185906850125876
172.0162083864212,0.39829158782958984,0.7192411924119241,0.7184382908453137,0.7192849490036791,0.7188365116216668
172.48072109222412,0.37607502937316895,0.7190773773409376,0.718290402109379,0.719121926335126,0.7186804509079187
171.86434030532837,0.38333845138549805,0.71907333252437,0.7182646080300441,0.7191168988988168,0.7186690129281108
172.2700034379959,0.3865058422088623,0.718763904056951,0.7179994506237714,0.7188087573227607,0.7183818273527064
172.27633850574495,0.37273263931274414,0.718529304696032,0.7176498217557916,0.7185731589077887,0.7180842337797898
172.30827715396882,0.35059213638305664,0.7190895117906403,0.7182341104185188,0.7191333935675372,0.7186584920505532
172.4195034980774,0.38571643829345703,0.718828621122032,0.7179789222796347,0.7188725561469304,0.7184015190916843
172.3375214099884,0.3790867328643799,0.7189236743113699,0.7180995135708055,0.7189678309785089,0.7185097838801836
172.22297253608704,0.40775299072265625,0.7190955790154916,0.718197858874751,0.7191394863840895,0.7186421197392387
172.1614496231079,0.46395444869995117,0.719111758281762,0.7182256364212031,0.719156113692468,0.7186663213672086
172.50936732292175,0.3713080883026123,0.7190632204829511,0.7181719074416373,0.7191069438819112,0.7186140416623148
172.3257743358612,0.3691067695617676,0.7184848117137888,0.7177178619928678,0.7185296014396638,0.718101740031519
172.3958770751953,0.3934133052825928,0.7189034502285322,0.7180406265928234,0.7189473784714855,0.7184715180550892
172.28797647953033,0.3732609748840332,0.7190106378675727,0.718162798823276,0.719055168271308,0.7185846950774222
172.2813509464264,0.3768184185028076,0.7191400719977349,0.7182117834467904,0.7191843752779319,0.7186738814832787
172.21255462169648,0.4012775421142578,0.7186203130688024,0.7177285026345512,0.7186648889475411,0.7181715903070895
172.47199900150298,0.39998459815979004,0.7191279375480322,0.7182500371682546,0.719172018633471,0.7186842817972614
172.36157093048095,0.35284423828125,0.7191259151397484,0.7182818461606698,0.7191700052165518,0.7187007461556897
172.57635774612427,0.37674880027770996,0.7190389515835457,0.7182420846732012,0.7190828980767555,0.7186374966109913
172.47259907722474,0.4138336181640625,0.719026817133843,0.7181919493151796,0.7190718276125101,0.7186086482656725
172.395014667511,0.4083433151245117,0.719467702139708,0.7186412246586437,0.7195117441611927,0.7190511856778654
172.58183970451356,0.4091510772705078,0.7190005258261538,0.7182208714821984,0.7190446488036334,0.7186112555714146
172.44995403289795,0.40917348861694336,0.7192472596367755,0.7183674799606904,0.7192903453624677,0.7188062004948327
172.10433700084687,0.41066789627075195,0.7193220887432755,0.7184471510165218,0.719366379635818,0.7188799902447787
172.35938856601715,0.4131782054901123,0.7191420944060187,0.7182646778817733,0.7191857252215607,0.7186998566710218
172.11140246391295,0.40979957580566406,0.7194899486308296,0.7187373705136562,0.7195334826001709,0.7191107523048976
172.28594377040864,0.3982870578765869,0.7191602960805727,0.7183258315985672,0.7192036992755788,0.7187398347415231
172.60414683818817,0.31371045112609863,0.719129959956316,0.7182967343343012,0.7191735636176876,0.7187110319408747
